time,stapm_value,ppt_limit_fast,ppt_value_fast,ppt_limit_slow,ppt_value_slow,ppt_value_apu
22/02/2025 15:37:54,"2,464",30,"2,959",25,"2,461","2,462"
22/02/2025 15:37:57,"2,461",30,"1,802",25,"2,361","2,362"
22/02/2025 15:37:58,"2,461",30,"2,292",25,"2,36","2,361"
22/02/2025 15:37:59,"2,462",30,"2,718",25,"2,432","2,432"
22/02/2025 15:38:00,"2,464",30,"5,51",25,"2,534","2,534"
22/02/2025 15:38:01,"2,467",30,"2,919",25,"2,713","2,714"
22/02/2025 15:38:02,"2,468",30,"2,13",25,"2,706","2,706"
22/02/2025 15:38:04,"2,467",30,"1,833",25,"2,648","2,648"
22/02/2025 15:38:05,"2,775",30,"2,061",25,"2,911","2,911"
22/02/2025 15:38:06,"2,466",30,"2,223",25,"2,523","2,523"
22/02/2025 15:38:07,"2,465",30,"1,98",25,"2,474","2,475"
22/02/2025 15:38:08,"2,464",30,"1,987",25,"2,418","2,419"
22/02/2025 15:38:09,"2,462",30,"1,998",25,"2,369","2,369"
22/02/2025 15:38:10,"2,462",30,"2,446",25,"2,345","2,346"
22/02/2025 15:38:11,"2,461",30,"2,478",25,"2,329","2,329"
22/02/2025 15:38:12,"2,46",30,"2,646",25,"2,342","2,342"
22/02/2025 15:38:13,"2,462",30,"2,695",25,"2,439","2,44"
22/02/2025 15:38:14,"2,463",30,"2,222",25,"2,529","2,529"
22/02/2025 15:38:15,"2,463",30,"2,308",25,"2,494","2,494"
22/02/2025 15:38:16,"2,462",30,"1,725",25,"2,459","2,459"
22/02/2025 15:38:17,"2,463",30,"1,821",25,"2,483","2,483"
22/02/2025 15:38:18,"2,462",30,"2,012",25,"2,444","2,444"
22/02/2025 15:38:19,"2,461",30,"2,197",25,"2,415","2,416"
22/02/2025 15:38:20,"2,461",30,"2,722",25,"2,411","2,411"
22/02/2025 15:38:21,"2,46",30,"2,047",25,"2,37","2,37"
22/02/2025 15:38:22,"2,459",30,"2,183",25,"2,352","2,352"
22/02/2025 15:38:23,"2,459",30,"2,012",25,"2,401","2,401"
22/02/2025 15:38:24,"2,46",30,"2,694",25,"2,429","2,429"
22/02/2025 15:38:25,"2,46",30,"2,435",25,"2,48","2,48"
22/02/2025 15:38:26,"2,461",30,"2,019",25,"2,503","2,503"
22/02/2025 15:38:28,"2,46",30,"2,086",25,"2,471","2,471"
22/02/2025 15:38:29,"2,46",30,"2,319",25,"2,442","2,442"
22/02/2025 15:38:30,"2,459",30,"1,844",25,"2,418","2,418"
22/02/2025 15:38:31,"2,458",30,"2,056",25,"2,367","2,367"
22/02/2025 15:38:32,"2,457",30,"1,782",25,"2,324","2,325"
22/02/2025 15:38:33,"2,456",30,"2,019",25,"2,28","2,28"
22/02/2025 15:38:34,"2,455",30,"1,788",25,"2,245","2,246"
22/02/2025 15:38:35,"2,454",30,"2,498",25,"2,234","2,234"
22/02/2025 15:38:36,"2,453",30,"1,982",25,"2,241","2,242"
22/02/2025 15:38:37,"2,453",30,"2,226",25,"2,226","2,226"
22/02/2025 15:38:38,"2,451",30,"1,992",25,"2,202","2,202"
22/02/2025 15:38:39,"2,451",30,"1,808",25,"2,186","2,186"
22/02/2025 15:38:40,"2,45",30,"1,771",25,"2,174","2,175"
22/02/2025 15:42:14,"2,447",30,2,25,"2,263","2,263"
22/02/2025 15:42:15,"2,447",30,"2,026",25,"2,284","2,285"
22/02/2025 15:42:16,"2,447",30,"2,949",25,"2,315","2,316"
22/02/2025 15:42:17,"2,448",30,"2,795",25,"2,411","2,412"
22/02/2025 15:42:18,"2,451",30,"2,758",25,"2,527","2,528"
22/02/2025 15:42:19,"2,453",30,"2,751",25,"2,623","2,623"
22/02/2025 15:42:20,"2,457",30,"2,588",25,"2,782","2,782"
22/02/2025 15:47:07,"2,486",30,"2,361",25,"2,445","2,445"
22/02/2025 15:47:08,"2,485",30,"1,758",25,"2,419","2,42"
22/02/2025 15:47:09,"2,485",30,"1,781",25,"2,408","2,408"
